Name,Appearance,Aroma,Taste,Palate,Total,Type,Brewery,Pros,Cons,Conclusion,Alcohol,IBU,Size,Date Reviewed,Reviewer,Categories,Tags,Review Text,URL
Coast To Coastless Imperial ESB,3.9,4.2,4.3,4.0,,Extra Special Bitter,Phillips Brewing Co.,"Creamy, well hopped and toasted ESB flavour",Not at all traditional and a touch sweet,A unique twist on the ESB with a delicious result,7.6%,,650,2015-Jul-05,dustansept,"7.0% - 7.9%, ABV, Brewery Regions, ESB, Phillips Brewing Co., Top BC Beers, Types Of Beer, Vancouver Island Breweries","ESB, imperial ESB, phillips brewing","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/07/05/phillips-brewing-co-coast-to-coastless-imperial-esb/
Imperial White IPA,4.45,4.5,4.8,4.6,,"Imperial India Pale Ale, White India Pale Ale",Bridge Brewing Co.,"Smooth and delicious, strong beer with a unique flavour profile",Doesn't shine the wheat tones of the beer,A unique and very delicious White IPA,8.0%,75,650,2015-Jun-28,dustansept,"8.0% - 8.9%, ABV, Brewery Regions, Bridge Brewing Co., Centennial, Double/Imperial IPA, Greater Vancouver Breweries, IPA, Magnum Hops, Sauvin Hops, Top BC Beers, Types Of Beer, Types of Hops, White IPA","bridge brewing, white ipa","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/06/28/bridge-brewing-co-imperial-white-ipa/
2015 Tempus Corvi Sour Saison,3.7,4.1,4.4,4.0,,"Saison, Sour Ale",Moon Under Water Brewery,"Nice, smooth sour flavour with a touch of oak",Heavy sediment in bottle,A smooth and fairly easy drinking Sour Saison that is rather delicious,6.3%,,500,2015-Jun-21,dustansept,"6.0% - 6.9%, ABV, Brewery Regions, Moon Under Water Brewery, Saison, Sour, Top BC Beers, Types Of Beer, Vancouver Island Breweries","moon under water, saison, sour, sour saison","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/06/21/moon-under-water-brewery-2015-tempus-corvi-sour-saison/
Jongleur Belgian Wit Beer,3.9,4.4,4.6,4.2,,Witbier,Strange Fellows Brewing Co.,Light ands sessionable with delightful citrus tones,Very light and disappears quickly,A light and sessionable Witbier with a bit more to it than is typical.,4.5%,12,4,2015-Jun-11,dustansept,"4.0% - 4.9%, ABV, Belgian, Brewery Regions, Greater Vancouver Breweries, Strange Fellows Brewing Co., Top BC Beers, Types Of Beer, Wheat Beer, Witbier","strange Fellows, witbier","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/06/11/strange-fellows-brewing-co-jongleur-belgian-wit-beer/
2015 Obscuritas Dark Sour,4.1,3.7,4.4,4.2,,Sour Ale,Driftwood Brewing Co.,A complex and dark flavoured Sour Ale,Has a touch more sweetness than you typical sour,"A complex, dark and lightly sweetened Sour Ale",7.6%,,650,2015-Jun-10,dustansept,"7.0% - 7.9%, ABV, Brewery Regions, Driftwood Brewing Co., Sour, Top BC Beers, Types Of Beer, Vancouver Island Breweries","driftwood, sour","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/06/10/driftwood-brewing-co-2015-obscuritas-dark-sour/
Farm Hand Saison,4.2,3.9,4.5,4.2,,Saison,Driftwood Brewing Co.,Great balance of flavour and representation of tradition and BC style beers,Disappears too quickly,"A light and sessionable Saison, perfect for the Spring, Summer or Fall",5.5%,,650,2015-Jun-08,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Driftwood Brewing Co., Saison, Top BC Beers, Types Of Beer, Vancouver Island Breweries","driftwood, saison","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/06/08/driftwood-brewing-co-farm-hand-saison/
Smoked Hefeweizen,4.2,4.0,4.5,4.1,,"Hefeweizen, Smoked",Steel & Oak Brewing Co.,Delicious Hefiweizen with a strong kick of smoke,Light bodied for a hefeweizen,"A light bodied, well smoked German Hefeweizen",5.2%,15,650,2015-Jun-05,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Greater Vancouver Breweries, Hefeweizen, Steel & Oak Brewing Co., Top BC Beers, Types Of Beer, Wheat Beer","hefeweizen, smoke, steel & oak","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/06/05/steel-oak-brewing-co-smoked-hefeweizen/
Three On The Tree Belgian Tripel,4.0,4.1,4.4,3.8,,Belgian Tripel,Red Truck Beer Co.,"Nice, big flavour in a strong but very drinkable beer",Not as intense as your typical Tripel,A lighter than expected Belgian Tripel with a great flavour profile,9.5%,23,650,2015-Jun-05,dustansept,"9.0% - 9.9%, ABV, Belgian, Brewery Regions, Cascade Hops, Greater Vancouver Breweries, Red Truck Beer Co., Sterling Hops, Top BC Beers, Tripel, Types Of Beer, Types of Hops","belgian, red truck, tripel","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/06/05/red-truck-beer-co-three-on-the-tree-belgian-tripel/
Belgian Quad,4.2,4.3,3.8,3.9,,Belgian Quad,Old Abbey Ales,A traditional and strong Belgian Quad,Rather intense and boozy,A strong and big bodied Belgian Quad with strong dark fruit tones.,10.1%,27,650,2015-Jun-03,dustansept,"10+%, ABV, Belgian, Brewery Regions, Greater Vancouver Breweries, Old Abbey Ales, Quad, Top BC Beers, Types Of Beer","belgian, Old Abbey Ales, quad","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/06/03/old-abbey-ales-belgian-quad/
McLennan s Scotch Ale,3.8,4.2,4.6,4.3,,Scotch Ale,Mission Springs Brewing Co.,"A big and strong, very tasty Scotch Ale",Quite smokey for a Scotch Ale,"A smokey, big bodied Scotch Ale with a ton of flavour",8.0%,30,650,2015-May-30,dustansept,"8.0% - 8.9%, ABV, Brewery Regions, Greater Vancouver Breweries, Mission Springs Brewing Co., Scotch Ale, Top BC Beers, Types Of Beer","mission springs, scotch ale","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/05/30/mission-springs-brewing-co-mclennans-scotch-ale/
Sonder Hefeweizen,4.4,4.1,3.7,3.8,,Hefeweizen,Okanagan Spring Brewery,"Nice, sessionable, light Hefeweizen flavour",Rather light for a Hefeweizen,"A light, well flavoured, well balanced, summer Hefeweizen.",5.0%,,341,2015-May-25,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Hefeweizen, Okanagan Breweries, Okanagan Springs Brewery, Top BC Beers, Types Of Beer, Wheat Beer","hefeweizen, okanagan spring","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/05/25/okanagan-spring-brewery-sonder-hefeweizen/
Marzen,4.0,4.3,4.6,4.7,,Marzen,Red Collar Brewing CO.,Smooth and lightly creamy Marzen. Fantastic!,Hard to find,A delicious German Lager with spot on French malt and German hop profiles,5.2%,32,650,2015-May-08,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Marzen, Okanagan Breweries, Red Collar Brewing Co., Top BC Beers, Types Of Beer","M rzen, red collar","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/05/08/red-collar-brewing-co-marzen/
Destiny IPA,4.2,3.9,4.2,3.7,,India Pale Ale,Fuggles & Warlock Craftworks,nice hop flavours in a complex and delicious IPA,Quite a bitter finish,"A lightly sweet, citrus infused IPA with a strong and hoppy finish.",6.0%,62,650,2015-Apr-27,dustansept,"6.0% - 6.9%, ABV, Amarillo Hops, Brewery Regions, Cascade Hops, Citra, Ella Hops, Fuggles & Warlock, Galaxy Hops, Greater Vancouver Breweries, IPA, Top BC Beers, Topaz Hops, Types Of Beer, Types of Hops, Uncategorized, Wakatu Hops","fuggles & warlock, ipa","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/04/27/fuggles-warlock-craftworks-destiny-ipa/
West Coast IPA,3.7,4.3,4.1,4.0,,India Pale Ale,Old Yale Brewing Co.,"Very nice aroma and a well hopped, bc IPA flavour",The citrus and fruit tones don't come through as strong on the palate as they do in the smell.,"A bitter, well hopped IPA with big citrus and pine tones.",6.0%,,650,2015-Apr-25,dustansept,"6.0% - 6.9%, ABV, Brewery Regions, Citra, Galaxy Hops, Greater Vancouver Breweries, IPA, Old Yale Brewing Co., Top BC Beers, Types Of Beer, Types of Hops","ipa, old yale","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/04/25/old-yale-brewing-co-west-coast-ipa/
Rye Nheitsge Bot Rye IPA,4.3,4.1,3.9,3.9,,"India Pale Ale, Rye",Cannery Brewing Co.,Big rye flavour with a strong kick of hops,Not for the hop naiive,A strongly hopped and spicy Rye IPA with a light tough of caramel sweetness.,6.0%,70,6,2015-Apr-24,dustansept,"6.0% - 6.9%, ABV, Brewery Regions, Cannery Brewing Co., IPA, Okanagan Breweries, Top BC Beers, Types Of Beer","cannery, ipa, rye ipa","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/04/24/cannery-brewing-co-rye-nheitsge-bot-rye-ipa/
Lightly Smoked Pilsner,3.8,4.0,4.4,4.1,,Pilsner,Persephone & Yellow Dog Breweries,Subtle smoke flavour in a delicious and unique Pilsner,Smoke and Pilsner may not be for everyone,"A unique, lightly smoked pilsner from two of BC's top craft breweries",5.5%,,650,2015-Apr-20,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Greater Vancouver Breweries, Persephone Brewing Co., Pilsner, Top BC Beers, Types Of Beer, Yellow Dog Brewing Co.","persephone, pilsner, smoke, Yellow Dog","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/04/20/persephone-yellow-dog-breweries-lightly-smoked-pilsner/
Punch Bowl India Pale Ale,4.0,4.0,4.3,3.7,,India Pale Ale,Russell Brewing Co.,A whollop of tropical fruit flavour,Fruit doesn't let a lot of other flavours through,"A very fruity, well hopped IPA for the summer ahead",6.5%,65,650,2015-Apr-17,dustansept,"6.0% - 6.9%, ABV, Brewery Regions, Greater Vancouver Breweries, IPA, Russell Brewing Co., Top BC Beers, Types Of Beer","ipa, russell","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/04/17/russell-brewing-co-punch-bowl-india-pale-ale/
Hip As Funk Farmhouse IPA,4.2,3.9,4.0,4.2,,"Farmhouse IPA, India Pale Ale",Moon Under Water Brewing Co.,Nice tropical fruit tones in a tasty Brett IPA,Not as much hop-bitterness as you may expect,"A fruity, Brett IPA without the hop bitterness",7.0%,,650,2015-Apr-13,dustansept,"7.0% - 7.9%, ABV, Brewery Regions, IPA, Moon Under Water Brewery, Top BC Beers, Types Of Beer, Vancouver Island Breweries","farmhouse ipa, moon under water","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/04/13/moon-under-water-brewing-co-hip-as-funk-farmhouse-ipa/
Right Kind of Crazy Double IPA,3.9,4.1,4.3,3.8,,Double India Pale Ale,Powell Street Brewing Co.,"Big, northwest style double IPA with a ton of flavour",Not as much hop flavour diversity as in some comparible beers ,A big and intense northwest style Double IPA,9.0%,56,650,2015-Apr-11,dustansept,"9.0% - 9.9%, ABV, Amarillo Hops, Azacca Hops, Brewery Regions, Double/Imperial IPA, Greater Vancouver Breweries, IPA, Powell Street Brewing Co., Top BC Beers, Types Of Beer","double ipa, powell st","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/04/11/powell-street-brewing-co-right-kind-of-crazy-double-ipa/
Rye The Longface Imperial Rye IPA,3.7,4.1,4.4,4.5,,Imperial Rye IPA,Parallel 49 Brewing Co.,Nice grapefruit tones in a big bodied Rye IPA,Not as big of a beer as you may expect,"A suprisingly drinkable, Imperial Rye IPA with delicious citrus tones.",8.5%,86,650,2015-Apr-09,dustansept,"8.0% - 8.9%, ABV, Amarillo Hops, Brewery Regions, Centennial, Chinook, Double/Imperial IPA, Greater Vancouver Breweries, IPA, Parallel 49 Brewing Co., Rye Ale, Simcoe Hops, Top BC Beers, Types Of Beer, Types of Hops","parallel 49, rye ipa","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/04/09/parallel-49-brewing-co-rye-the-longface-imperial-rye-ipa/
 Barrel Aged Oatmeal Stout,4.4,4.2,4.7,4.5,,"Barrel Aged, Oatmeal Stout",Townsite Brewing Inc.,Delicious and complex barrel aged flavour in a beer that is very drinkable and reasonably light.,Not the wallop of flavour that some may be looking for.,A barrel aged Oatmeal Stout that is complex in flavour but not over the top in intensity,5.5%,30,650,2015-Apr-08,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Greater Vancouver Breweries, Stout, Top BC Beers, Townsite Brewing Inc., Types Of Beer","barrel aged, oatmeal stout, townsite","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/04/08/townsite-brewing-inc-barrel-aged-oatmeal-stout/
Vexillum Imperial IPA,4.6,4.6,4.8,4.8,,Imperial India Pale Ale,Four Winds Brewing Co.,"Delicious, very sessionable Imperial IPA with big tropical fruit tones.",For 100 IBUs this is not an extremel y hoppy beer,A delicious and fruity Imperial IPA that is very drinkable.,9.0%,100,650,2015-Apr-07,dustansept,"9.0% - 9.9%, ABV, Brewery Regions, Double/Imperial IPA, Four Winds Brewing Co., Greater Vancouver Breweries, IPA, Top BC Beers, Types Of Beer","four winds, imperial ipa","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/04/07/four-winds-brewing-co-vexillum-imperial-ipa/
